Participant_ID,Dates,Distance
p01,2020-04-01,0.37350740011829836
p01,2020-04-02,0.8690122157812403
p01,2020-04-03,0.14121595187007754
p01,2020-04-04,-0.3957549559753103
p01,2020-04-05,-1.2311092863673887
p01,2020-04-06,-0.2891103219230797
p01,2020-04-07,-0.010693683517373265
p01,2020-04-08,0.1406288213186402
p01,2020-04-09,0.6361336369821906
p01,2020-04-10,-0.09166262693080446
p01,2020-04-11,-0.628633534775344
p01,2020-04-12,-1.4639878651655673
p01,2020-04-13,-0.5219889007208741
p01,2020-04-14,-0.24357226231624596
p01,2020-04-15,-0.09224975748101766
p01,2020-04-16,0.4032550581825198
p01,2020-04-17,-0.3245412057303283
p01,2020-04-18,-0.8615121135756059
p01,2020-04-19,-1.6968664439655168
p01,2020-04-20,-0.7548674795201497
p01,2020-04-21,-0.47645084111615854
p01,2020-04-22,-0.32512833627894405
p01,2020-04-23,0.17037647938347023
p01,2020-04-24,-0.5574197845298519
p01,2020-04-25,-1.0943906923756397
p01,2020-04-26,-1.929745022764581
p01,2020-04-27,-0.9877460583223379
p01,2020-04-28,-0.7093294199168139
p01,2020-04-29,-0.558006915080334
p01,2020-04-30,-0.06250209941691764
p01,2020-05-01,-0.7902983633275338
p01,2020-05-02,-1.3272692711721823
p01,2020-05-03,-2.1626236015636446
p01,2020-05-04,-1.2206246371216138
p01,2020-05-05,-0.9422079987139036
p01,2020-05-06,-0.7908854938782598
p01,2020-05-07,-0.29538067821596803
p01,2020-05-08,-1.0231769421270573
p01,2020-05-09,-1.560147849972216
p01,2020-05-10,-2.3955021803627092
p01,2020-05-11,-1.453503215919408
p01,2020-05-12,-1.1750865775145587
p01,2020-05-13,-1.0237640726790382
p01,2020-05-14,-0.5282592570150181
p01,2020-05-15,-1.2560555209272606
p01,2020-05-16,-1.7930264287724775
p01,2020-05-17,-2.628380759162658
p01,2020-05-18,-1.686381794723077
p01,2020-05-19,-1.4079651563152136
p01,2020-05-20,-1.2566426514786961
p01,2020-05-21,-0.7611378358140678
p01,2020-05-22,-1.4889340997274636
p01,2020-05-23,-2.025905007572511
p01,2020-05-24,-2.8612593379628324
p01,2020-05-25,-1.919260373520872
p01,2020-05-26,-1.6408437351140859
p01,2020-05-27,-1.4895212302783545
p01,2020-05-28,-0.9940164146150763
p01,2020-05-29,-1.7218126785244656
p01,2020-05-30,-2.258783586372545
p01,2020-05-31,-3.0941379167618974
p01,2020-06-01,-2.152138952320147
p01,2020-06-02,-1.873722313912959
p01,2020-06-03,-1.7223998090762802
p01,2020-06-04,-1.2268949934127882
p01,2020-06-05,-1.9546912573239892
p01,2020-06-06,-2.491662165172807
