Participant_ID,Dates,Minutes_Asleep
p01,2020-04-02,366.0543152277482
p01,2020-04-03,341.91357114650725
p01,2020-04-04,413.6287555141477
p01,2020-04-05,398.24346151275495
p01,2020-04-06,367.7444430318858
p01,2020-04-07,396.6196847120781
p01,2020-04-08,372.74532354574984
p01,2020-04-09,371.7465465363892
p01,2020-04-10,347.605802455275
p01,2020-04-11,419.3209868229122
p01,2020-04-12,403.9356928215447
p01,2020-04-13,373.4366743406329
p01,2020-04-14,402.3119160207782
p01,2020-04-15,378.4375548543844
p01,2020-04-16,377.43877784514075
p01,2020-04-17,353.29803376392107
p01,2020-04-18,425.01321813147285
p01,2020-04-19,409.62792413008884
p01,2020-04-20,379.1289056492607
p01,2020-04-21,408.0041473293888
p01,2020-04-22,384.12978616306594
p01,2020-04-23,383.1310091537818
p01,2020-04-24,358.9902650725672
p01,2020-04-25,430.7054494402373
p01,2020-04-26,415.3201554387558
p01,2020-04-27,384.8211369579319
p01,2020-04-28,413.69637863799653
p01,2020-04-29,389.8220174716535
p01,2020-04-30,388.8232404624305
p01,2020-05-01,364.68249638116845
p01,2020-05-02,436.39768074877367
p01,2020-05-03,421.01238674742274
p01,2020-05-04,390.51336826655967
p01,2020-05-05,419.3886099467891
p01,2020-05-06,395.51424878033504
p01,2020-05-07,394.51547177107153
p01,2020-05-08,370.37472768981445
p01,2020-05-09,442.0899120575382
p01,2020-05-10,426.70461805608977
p01,2020-05-11,396.20559957530685
p01,2020-05-12,425.0808412553968
p01,2020-05-13,401.2064800890664
p01,2020-05-14,400.2077030797125
p01,2020-05-15,376.06695899852144
p01,2020-05-16,447.78214336609875
p01,2020-05-17,432.3968493646339
p01,2020-05-18,401.89783088385866
p01,2020-05-19,430.7730725640046
p01,2020-05-20,406.898711397701
p01,2020-05-21,405.89993438835353
p01,2020-05-22,381.7591903072283
p01,2020-05-23,453.4743746748632
p01,2020-05-24,438.08908067343214
p01,2020-05-25,407.59006219260584
p01,2020-05-26,436.4653038727047
p01,2020-05-27,412.5909427063356
p01,2020-05-28,411.59216569711276
p01,2020-05-29,387.45142161576877
p01,2020-05-30,459.1666059836276
p01,2020-05-31,443.7813119820991
p01,2020-06-01,413.2822935012336
p01,2020-06-02,442.15753518140485
p01,2020-06-03,418.2831740150171
p01,2020-06-04,417.2843970057461
p01,2020-06-05,393.1436529244148
p01,2020-06-06,464.8588372921883
p01,2020-06-07,449.47354329076603
p01,2020-06-08,418.97452480986135
p01,2020-06-09,447.8497664900153
p01,2020-06-10,423.9754053236048
p01,2020-06-11,422.97662831439476
p01,2020-06-12,398.83588423312176
p01,2020-06-13,470.55106860095276
p01,2020-06-14,455.1657745994415
p01,2020-06-15,424.66675611848916
p01,2020-06-16,453.5419977986232
p01,2020-06-17,429.6676366322862
p01,2020-06-18,428.6688596230358
p01,2020-06-19,404.5281155418287
p01,2020-06-20,476.24329990948917
p01,2020-06-21,460.85800590823123
p01,2020-06-22,430.35898742723634
p01,2020-06-23,459.23422910741556
p01,2020-06-24,435.3598679409678
p01,2020-06-25,434.3610909317874
p01,2020-06-26,410.2203468505356
p01,2020-06-27,481.9355312181517
p01,2020-06-28,466.5502372167754
p01,2020-06-29,436.0512187358641
p01,2020-06-30,464.92646041602336
p01,2020-07-01,441.0520992496991
