Participant_ID,Dates,Steps
p01,2020-04-01,5097.279728232953
p01,2020-04-02,6509.229520350977
p01,2020-04-03,3550.586932644919
p01,2020-04-04,4194.5102838701905
p01,2020-04-05,1896.5090088452866
p01,2020-04-06,1803.26134667621
p01,2020-04-07,3524.6866657990604
p01,2020-04-08,5058.6397031409
p01,2020-04-09,6470.589495258597
p01,2020-04-10,3511.946907552441
p01,2020-04-11,4155.8702587798025
p01,2020-04-12,1857.8689837584168
p01,2020-04-13,1764.6213215889954
p01,2020-04-14,3486.046640710206
p01,2020-04-15,5019.999678048846
p01,2020-04-16,6431.949470170606
p01,2020-04-17,3473.3068824591396
p01,2020-04-18,4117.230233683394
p01,2020-04-19,1819.2289586615198
p01,2020-04-20,1725.9812964957582
p01,2020-04-21,3447.4066156108015
p01,2020-04-22,4981.359652961292
p01,2020-04-23,6393.309445078226
p01,2020-04-24,3434.666857365839
p01,2020-04-25,4078.590208593005
p01,2020-04-26,1780.5889335696363
p01,2020-04-27,1687.3412714012363
p01,2020-04-28,3408.7665905161066
p01,2020-04-29,4942.719627864739
p01,2020-04-30,6354.6694199835765
p01,2020-05-01,3396.0268322782276
p01,2020-05-02,4039.950183502986
p01,2020-05-03,1741.9489084777535
p01,2020-05-04,1648.7012463079977
p01,2020-05-05,3370.126565433092
p01,2020-05-06,4904.079602777186
p01,2020-05-07,6316.029394891197
p01,2020-05-08,3357.3868071849265
p01,2020-05-09,4001.310158412598
p01,2020-05-10,1703.3088833858694
p01,2020-05-11,1610.0612212207834
p01,2020-05-12,3331.4865403383974
p01,2020-05-13,4865.439577679236
p01,2020-05-14,6277.389369798816
p01,2020-05-15,3318.7467820920365
p01,2020-05-16,3962.670133316189
p01,2020-05-17,1664.6688582889733
p01,2020-05-18,1571.4211961202382
p01,2020-05-19,3292.8465152437025
p01,2020-05-20,4826.799552587183
p01,2020-05-21,6238.749344706435
p01,2020-05-22,3280.106756999147
p01,2020-05-23,3924.0301082258006
p01,2020-05-24,1626.0288332021837
p01,2020-05-25,1532.7811710330238
p01,2020-05-26,3254.206490154848
p01,2020-05-27,4788.15952749513
p01,2020-05-28,6200.109319616176
p01,2020-05-29,3241.466731911124
p01,2020-05-30,3885.390083135413
p01,2020-05-31,1587.3888081103003
p01,2020-06-01,1494.1411459397866
p01,2020-06-02,3215.5664650659933
p01,2020-06-03,4749.5195024075765
p01,2020-06-04,6161.469294526067
p01,2020-06-05,3202.8267068178234
p01,2020-06-06,3846.7500580390033
p01,2020-06-07,1548.748783018417
p01,2020-06-08,1455.501120846549
p01,2020-06-09,3176.926439966589
p01,2020-06-10,4710.879477311022
p01,2020-06-11,6122.829269431417
p01,2020-06-12,3164.186681724934
p01,2020-06-13,3808.110032948616
p01,2020-06-14,1510.108757926614
p01,2020-06-15,1416.8610957533115
p01,2020-06-16,3138.2864148718945
p01,2020-06-17,4672.239452223468
p01,2020-06-18,6084.189244339036
p01,2020-06-19,3125.546656632044
p01,2020-06-20,3769.470007858596
p01,2020-06-21,1471.4687328397447
p01,2020-06-22,1378.221070666098
p01,2020-06-23,3099.64638978888
p01,2020-06-24,4633.599427135916
p01,2020-06-25,6045.549219251046
p01,2020-06-26,3086.906631539154
p01,2020-06-27,3730.8299827651977
p01,2020-06-28,1432.828707742848
p01,2020-06-29,1339.5810455728604
p01,2020-06-30,3061.006364694185
p01,2020-07-01,4594.959402037966
p01,2020-07-02,6006.909194158667
p01,2020-07-03,3048.266606445853
p01,2020-07-04,3692.189957671799
p01,2020-07-05,1394.188682645951
p01,2020-07-06,1300.9410204783378
p01,2020-07-07,3022.36633960533
p01,2020-07-08,4556.319376945912
p01,2020-07-09,5968.269169064017
p01,2020-07-10,3009.626581353375
p01,2020-07-11,3653.549932581411
p01,2020-07-12,1355.548657559081
p01,2020-07-13,1262.3009953851004
p01,2020-07-14,2983.726314516475
p01,2020-07-15,4517.679351853859
p01,2020-07-16,5929.629143969367
p01,2020-07-17,2970.9865562649406
p01,2020-07-18,3614.9099074913916
p01,2020-07-19,1316.908632462184
p01,2020-07-20,1223.660970297886
p01,2020-07-21,2945.0862894276206
p01,2020-07-22,4479.0393267604095
p01,2020-07-23,5890.989118879255
p01,2020-07-24,2932.3465311720515
p01,2020-07-25,3576.2698823979936
p01,2020-07-26,1278.2686073703007
p01,2020-07-27,1185.0209451986252
p01,2020-07-28,2906.4462643223765
p01,2020-07-29,4440.399301663856
p01,2020-07-30,5852.349093784606
p01,2020-07-31,2893.7065060791615
p01,2020-08-01,3537.6298573045947
p01,2020-08-02,1239.6285822784982
p01,2020-08-03,1146.3809201114113
p01,2020-08-04,2867.8062392335214
p01,2020-08-05,4401.759276576302
p01,2020-08-06,5813.7090686922265
p01,2020-08-07,2855.066480986272
p01,2020-08-08,3498.9898322142067
p01,2020-08-09,1200.9885571916282
p01,2020-08-10,1107.7408950241968
p01,2020-08-11,2829.166214144667
p01,2020-08-12,4363.11925148425
p01,2020-08-13,5775.069043604237
p01,2020-08-14,2816.4264558978375
p01,2020-08-15,3460.349807117798
p01,2020-08-16,1162.3485320947316
p01,2020-08-17,1069.1008699249367
p01,2020-08-18,2790.5261890452625
p01,2020-08-19,4324.479226392195
p01,2020-08-20,5736.429018511855
p01,2020-08-21,2777.786430804537
p01,2020-08-22,3421.70978202741
p01,2020-08-23,1123.708507002848
p01,2020-08-24,1030.4608448364372
p01,2020-08-25,2751.8861639505685
p01,2020-08-26,4285.839201300143
p01,2020-08-27,5697.788993417206
p01,2020-08-28,2739.146405712058
p01,2020-08-29,3383.06975693739
p01,2020-08-30,1085.0684819109651
p01,2020-08-31,991.8208197432
p01,2020-09-01,2713.2461388675533
p01,2020-09-02,4247.199176212589
p01,2020-09-03,5659.148968327096
p01,2020-09-04,2700.5063806187572
p01,2020-09-05,3344.4297318439917
p01,2020-09-06,1046.4284568190812
p01,2020-09-07,953.1807946559861
p01,2020-09-08,2674.606113772859
p01,2020-09-09,4208.5591511146395
p01,2020-09-10,5620.508943236837
p01,2020-09-11,2661.8663555258668
p01,2020-09-12,3305.789706750593
p01,2020-09-13,1007.7884317221851
p01,2020-09-14,914.54076955544
p01,2020-09-15,2635.9660886781635
p01,2020-09-16,4169.919126022586
p01,2020-09-17,5581.868918144457
p01,2020-09-18,2623.2263304329776
p01,2020-09-19,3267.1496816602053
