Participant_ID,Dates,Distance
p10,2019-11-07,4.866132
p10,2019-11-08,0.0
p10,2019-11-09,1.121648
p10,2019-11-10,4.36089
p10,2019-11-11,0.0
p10,2019-11-12,1.834968
p10,2019-11-13,0.0
p10,2019-11-15,0.0
p10,2019-11-16,0.0
p10,2019-11-17,0.0
p10,2019-11-18,0.0
p10,2019-11-19,0.8754449999999999
p10,2019-11-22,0.0
p10,2019-11-23,2.865898
p10,2019-11-24,0.0
p10,2019-11-25,0.0
p10,2019-11-26,0.8511789999999999
p10,2019-11-28,0.0
p10,2019-11-29,0.0
p10,2019-12-02,0.0
p10,2019-12-03,1.893078
p10,2019-12-04,0.0
p10,2019-12-05,0.0
p10,2019-12-07,0.0
p10,2019-12-08,4.899132
p10,2019-12-10,4.618398
p10,2019-12-13,0.0
p10,2019-12-14,0.0
p10,2019-12-15,0.0
p10,2019-12-17,0.0
p10,2019-12-19,0.0
p10,2019-12-20,0.0
p10,2019-12-21,0.0
p10,2019-12-22,0.0
p10,2019-12-24,0.0
p10,2019-12-28,0.0
p10,2019-12-30,0.0
p10,2019-12-31,0.775
p10,2020-01-02,0.0
p10,2020-01-03,4.73271
p10,2020-01-04,0.0
p10,2020-01-06,4.782031
p10,2020-01-07,0.0
p10,2020-01-08,0.0
p10,2020-01-10,0.0
p10,2020-01-11,0.0
p10,2020-01-12,0.0
p10,2020-01-13,3.396523
p10,2020-01-14,0.0
p10,2020-01-16,3.280578
p10,2020-01-17,0.0
p10,2020-01-18,0.0
p10,2020-01-20,0.0
p10,2020-01-21,1.016218
p10,2020-01-22,0.0
p10,2020-01-23,0.0
p10,2020-01-24,0.0
p10,2020-01-25,0.0
p10,2020-01-26,0.0
p10,2020-01-29,0.0
p10,2020-01-30,0.0
p10,2020-01-31,0.0
p10,2020-02-01,0.0
p10,2020-02-02,0.0
p10,2020-02-03,0.0
p10,2020-02-04,0.0
p10,2020-02-05,0.0
p10,2020-02-07,0.0
p10,2020-02-09,2.591585
p10,2020-02-10,0.0
p10,2020-02-12,3.139132
p10,2020-02-13,0.0
p10,2020-02-14,0.0
p10,2020-02-15,0.0
p10,2020-02-16,0.0
p10,2020-02-17,0.0
p10,2020-02-18,2.939867
p10,2020-02-19,0.0
p10,2020-02-20,3.798
p10,2020-02-21,0.0
p10,2020-02-22,0.0
p10,2020-02-23,0.0
p10,2020-02-25,0.0
