Participant_ID,Dates,Steps
p11,2019-11-15,3237
p11,2019-11-16,2721
p11,2019-11-18,5219
p11,2019-11-19,4064
p11,2019-11-20,2891
p11,2019-11-22,2305
p11,2019-11-24,8184
p11,2019-11-25,2608
p11,2019-11-26,5995
p11,2019-11-27,3526
p11,2019-11-28,8570
p11,2019-11-29,2980
p11,2019-11-30,1262
p11,2019-12-02,8234
p11,2019-12-03,8595
p11,2019-12-04,7676
p11,2019-12-07,3207
p11,2019-12-08,1251
p11,2019-12-09,275
p11,2019-12-14,8317
p11,2019-12-15,1466
p11,2019-12-17,5124
p11,2019-12-18,1395
p11,2019-12-23,1504
p11,2019-12-24,2088
p11,2019-12-26,5576
p11,2019-12-29,7358
p11,2020-01-02,6544
p11,2020-01-04,1648
p11,2020-01-06,4920
p11,2020-01-09,3309
p11,2020-01-10,1287
p11,2020-01-13,4661
p11,2020-01-14,4713
p11,2020-01-15,4762
p11,2020-01-16,3619
p11,2020-01-17,5598
p11,2020-01-19,4056
p11,2020-01-20,1584
p11,2020-01-21,3590
p11,2020-01-22,3002
p11,2020-01-25,5883
p11,2020-01-26,11884
p11,2020-01-29,1273
p11,2020-01-30,6428
p11,2020-02-02,5269
p11,2020-02-04,6081
p11,2020-02-08,4270
p11,2020-02-10,3695
p11,2020-02-12,407
p11,2020-02-13,1073
p11,2020-02-17,3456
p11,2020-02-18,1518
p11,2020-02-20,2255
p11,2020-02-21,4713
p11,2020-02-23,1103
p11,2020-02-24,1675
p11,2020-02-25,1770
p11,2020-03-01,4550
p11,2020-03-11,7053
p11,2020-03-13,2047
