Participant_ID,Dates,Steps
p01,2019-11-01,4664.0
p01,2019-11-02,3035.0
p01,2019-11-04,1284.0
p01,2019-11-05,4966.0
p01,2019-11-08,2094.0
p01,2019-11-09,4185.0
p01,2019-11-10,4698.0
p01,2019-11-11,3384.0
p01,2019-11-12,867.0
p01,2019-11-14,7742.0
p01,2019-11-15,7178.0
p01,2019-11-16,3485.0
p01,2019-11-17,2395.0
p01,2019-11-18,3288.0
p01,2019-11-19,1164.0
p01,2019-11-21,8519.0
p01,2019-11-22,3311.0
p01,2019-11-23,11770.0
p01,2019-11-24,6842.0
p01,2019-11-25,1825.0
p01,2019-11-26,7728.0
p01,2019-11-27,3028.0
p01,2019-11-28,5397.0
p01,2019-11-29,2859.0
p01,2019-11-30,3264.0
p01,2019-12-01,1468.0
p01,2019-12-02,3183.0
p01,2019-12-03,7142.0
p01,2019-12-05,6239.0
p01,2019-12-06,1620.0
p01,2019-12-07,1976.0
p01,2019-12-08,4837.0
p01,2019-12-13,4776.0
p01,2019-12-14,2175.0
p01,2019-12-15,10274.0
p01,2019-12-16,1491.0
p01,2019-12-17,3272.0
p01,2019-12-18,4149.0
p01,2019-12-19,7405.0
p01,2019-12-20,4487.0
p01,2019-12-21,11109.0
p01,2019-12-22,3813.0
p01,2019-12-23,8660.0
p01,2019-12-25,1457.0
p01,2019-12-26,6020.0
p01,2019-12-27,2597.0
p01,2019-12-28,1828.0
p01,2019-12-29,1511.0
p01,2019-12-31,1890.0
p01,2020-01-02,2395.0
p01,2020-01-03,9751.0
p01,2020-01-04,8855.0
p01,2020-01-05,2649.0
p01,2020-01-06,2535.0
p01,2020-01-07,8733.0
p01,2020-01-08,2437.0
p01,2020-01-09,5959.0
p01,2020-01-10,6828.0
p01,2020-01-11,4623.0
p01,2020-01-12,2404.0
p01,2020-01-13,1757.0
p01,2020-01-14,6925.0
p01,2020-01-15,6284.0
p01,2020-01-16,2811.0
p01,2020-01-17,3094.0
p01,2020-01-18,7150.0
p01,2020-01-19,5689.0
p01,2020-01-20,1251.0
p01,2020-01-21,2266.0
p01,2020-01-22,1314.0
p01,2020-01-23,4851.0
p01,2020-01-25,9828.0
p01,2020-01-26,7356.0
p01,2020-01-28,7586.0
p01,2020-01-30,7700.0
p01,2020-01-31,2915.0
p01,2020-02-01,523.0
p01,2020-02-02,2011.0
p01,2020-02-03,1654.0
p01,2020-02-05,8788.0
p01,2020-02-06,14105.0
p01,2020-02-08,1441.0
p01,2020-02-09,1883.0
p01,2020-02-10,4963.0
p01,2020-02-12,3817.0
p01,2020-02-13,4360.0
p01,2020-02-14,1390.0
p01,2020-02-16,1236.0
p01,2020-02-18,3920.0
p01,2020-02-19,4775.0
p01,2020-02-21,4995.0
