datetime,Minutes_Asleep
2019-11-06,387
2019-11-07,383
2019-11-08,389
2019-11-09,270
2019-11-10,417
2019-11-11,383
2019-11-12,220
2019-11-12,103
2019-11-13,359
2019-11-14,375
2019-11-15,342
2019-11-16,393
2019-11-17,320
2019-11-18,338
2019-11-19,393
2019-11-20,322
2019-11-21,335
2019-11-22,378
2019-11-23,452
2019-11-24,245
2019-11-24,85
2019-11-25,418
2019-11-26,354
2019-11-27,371
2019-11-28,379
2019-11-29,404
2019-12-01,399
2019-12-02,376
2019-12-03,382
2019-12-04,392
2019-12-05,383
2019-12-06,203
2019-12-06,80
2019-12-07,372
2019-12-08,351
2019-12-09,247
2019-12-09,96
2019-12-10,317
2019-12-11,359
2019-12-12,355
2019-12-13,369
2019-12-14,368
2019-12-15,479
2019-12-16,388
2019-12-17,391
2019-12-18,373
2019-12-19,349
2019-12-20,372
2019-12-21,397
2019-12-22,435
2019-12-23,217
2019-12-23,170
2019-12-24,417
2019-12-25,69
2019-12-25,327
2019-12-26,498
2019-12-27,426
2019-12-28,414
2019-12-29,407
2019-12-30,413
2019-12-31,387
2020-01-02,425
2020-01-03,320
2020-01-04,62
2020-01-04,290
2020-01-05,464
2020-01-06,330
2020-01-07,381
2020-01-08,419
2020-01-09,377
2020-01-10,375
2020-01-11,296
2020-01-12,400
2020-01-13,370
2020-01-14,335
2020-01-15,405
2020-01-16,337
2020-01-17,233
2020-01-17,94
2020-01-18,464
2020-01-19,402
2020-01-20,406
2020-01-21,358
2020-01-22,358
2020-01-23,278
2020-01-24,368
2020-01-25,425
2020-01-26,291
2020-01-28,364
2020-01-29,370
2020-01-30,395
2020-01-31,385
2020-02-01,416
2020-02-02,475
2020-02-03,405
2020-02-04,348
2020-02-05,297
2020-02-06,381
2020-02-07,364
2020-02-08,403
2020-02-09,441
2020-02-10,392
2020-02-11,388
2020-02-12,346
2020-02-13,385
2020-02-14,349
2020-02-15,347
2020-02-16,306
2020-02-17,404
2020-02-18,371
2020-02-19,364
2020-02-20,374
2020-02-21,373
2020-02-22,395
2020-02-23,359
2020-02-24,417
2020-02-25,150
2020-02-26,400
2020-02-27,368
2020-02-28,147
2020-02-28,236
2020-02-29,440
2020-03-01,189
2020-03-01,60
2020-03-02,416
2020-03-03,372
2020-03-04,447
2020-03-05,409
2020-03-06,399
2020-03-07,408
2020-03-08,363
2020-03-09,313
2020-03-11,477
2020-03-12,382
2020-03-13,357
2020-03-14,504
2020-03-15,357
2020-03-16,358
2020-03-18,372
2020-03-19,414
2020-03-20,101
2020-03-20,180
2020-03-21,328
2020-03-22,428
2020-03-23,428
2020-03-24,424
2020-03-25,409
2020-03-26,331
2020-03-27,384
2020-03-28,366
2020-03-29,223
2020-03-30,346
2020-03-31,394
