logId,activityName,activityTypeId,activityLevel,averageHeartRate,calories,duration,activeDuration,steps,logType,manualValuesSpecified,heartRateZones,lastModified,startTime,originalStartTime,originalDuration,elevationGain,hasGps,shouldFetchDetails,distance,distanceUnit,source,speed,pace,tcxLink,swimLengths,poolLength,poolLengthUnit
26555895608,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 7, 'name': 'very'}]",108.0,105,922000,922000,1139.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 85, 'minutes': 0}, {'name': 'Fat Burn', 'min': 85, 'max': 119, 'minutes': 11}, {'name': 'Cardio', 'min': 119, 'max': 144, 'minutes': 4}, {'name': 'Peak', 'min': 144, 'max': 220, 'minutes': 0}]",11/06/19 18:25:09,2019-11-06 15:10:31,11/06/19 15:10:31,922000,21.336,False,False,,,,,,,,,
26516538165,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 68, 'name': 'very'}]",136.0,544,4315000,4114000,10034.0,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 85, 'minutes': 0}, {'name': 'Fat Burn', 'min': 85, 'max': 119, 'minutes': 1}, {'name': 'Cardio', 'min': 119, 'max': 144, 'minutes': 56}, {'name': 'Peak', 'min': 144, 'max': 220, 'minutes': 11}]",11/06/19 18:25:04,2019-11-06 17:06:01,11/06/19 17:06:01,4315000,128.016,False,False,9.356687,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150406694', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['ELEVATION', 'DISTANCE', 'PACE', 'CALORIES', 'STEPS', 'VO2_MAX', 'HEARTRATE', 'GPS']}",8.188608653378708,439.6351263550251,,,,
26576453784,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",97.0,186,1280000,1280000,1939.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 85, 'minutes': 1}, {'name': 'Fat Burn', 'min': 85, 'max': 119, 'minutes': 19}, {'name': 'Cardio', 'min': 119, 'max': 144, 'minutes': 0}, {'name': 'Peak', 'min': 144, 'max': 220, 'minutes': 0}]",11/07/19 15:50:24,2019-11-07 15:14:23,11/07/19 15:14:23,1280000,30.48,False,False,,,,,,,,,
26580173239,Sport,15000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 28, 'name': 'very'}]",95.0,258,1792000,1792000,2741.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 85, 'minutes': 2}, {'name': 'Fat Burn', 'min': 85, 'max': 119, 'minutes': 26}, {'name': 'Cardio', 'min': 119, 'max': 144, 'minutes': 0}, {'name': 'Peak', 'min': 144, 'max': 220, 'minutes': 0}]",11/07/19 19:53:46,2019-11-07 17:57:23,11/07/19 17:57:23,1792000,,False,False,,,,,,,,,
26580173240,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 4, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",88.0,197,1433000,1433000,1861.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 85, 'minutes': 10}, {'name': 'Fat Burn', 'min': 85, 'max': 119, 'minutes': 13}, {'name': 'Cardio', 'min': 119, 'max': 144, 'minutes': 0}, {'name': 'Peak', 'min': 144, 'max': 220, 'minutes': 0}]",11/07/19 19:53:46,2019-11-07 18:33:14,11/07/19 18:33:14,1433000,60.96,False,False,,,,,,,,,
26595672012,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 14, 'name': 'very'}]",104.0,150,921000,921000,1561.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 85, 'minutes': 2}, {'name': 'Fat Burn', 'min': 85, 'max': 119, 'minutes': 14}, {'name': 'Cardio', 'min': 119, 'max': 144, 'minutes': 0}, {'name': 'Peak', 'min': 144, 'max': 220, 'minutes': 0}]",11/08/19 07:49:32,2019-11-08 07:18:41,11/08/19 07:18:41,921000,33.528,False,False,,,,,,,,,
26603054972,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 62, 'name': 'very'}]",131.0,842,3789000,3789000,8804.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 85, 'minutes': 0}, {'name': 'Fat Burn', 'min': 85, 'max': 119, 'minutes': 5}, {'name': 'Cardio', 'min': 119, 'max': 144, 'minutes': 55}, {'name': 'Peak', 'min': 144, 'max': 220, 'minutes': 3}]",11/08/19 17:10:43,2019-11-08 15:33:39,11/08/19 15:33:39,3789000,201.168,False,False,,,,,,,,,
26621023859,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 18, 'name': 'very'}]",93.0,197,1331000,1331000,1867.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 85, 'minutes': 6}, {'name': 'Fat Burn', 'min': 85, 'max': 119, 'minutes': 12}, {'name': 'Cardio', 'min': 119, 'max': 144, 'minutes': 2}, {'name': 'Peak', 'min': 144, 'max': 220, 'minutes': 0}]",11/09/19 17:59:37,2019-11-09 07:54:09,11/09/19 07:54:09,1331000,40.64,False,False,,,,,,,,,
26621023862,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 99, 'name': 'very'}]",114.0,1128,6144000,6144000,10958.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 85, 'minutes': 1}, {'name': 'Fat Burn', 'min': 85, 'max': 119, 'minutes': 69}, {'name': 'Cardio', 'min': 119, 'max': 144, 'minutes': 29}, {'name': 'Peak', 'min': 144, 'max': 220, 'minutes': 1}]",11/09/19 17:59:37,2019-11-09 11:59:04,11/09/19 11:59:04,6144000,82.296,False,False,,,,,,,,,
26635655527,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 34, 'name': 'very'}]",96.0,374,2612000,2612000,3893.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 85, 'minutes': 6}, {'name': 'Fat Burn', 'min': 85, 'max': 119, 'minutes': 36}, {'name': 'Cardio', 'min': 119, 'max': 144, 'minutes': 2}, {'name': 'Peak', 'min': 144, 'max': 220, 'minutes': 0}]",11/10/19 15:29:42,2019-11-10 11:41:37,11/10/19 11:41:37,2612000,88.392,False,False,,,,,,,,,
