logId,activityName,activityTypeId,activityLevel,averageHeartRate,calories,distance,distanceUnit,duration,activeDuration,steps,source,logType,manualValuesSpecified,heartRateZones,speed,pace,lastModified,startTime,originalStartTime,originalDuration,elevationGain,hasGps,shouldFetchDetails,tcxLink,vo2Max
26421235751,Interval Workout,20057,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 40, 'name': 'very'}]",150,658,5.879976,Kilometer,2406000,2400000,6210.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150254925', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'GPS', 'ELEVATION', 'PACE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': True, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 89, 'minutes': 0}, {'name': 'Fat Burn', 'min': 89, 'max': 124, 'minutes': 6}, {'name': 'Cardio', 'min': 124, 'max': 151, 'minutes': 6}, {'name': 'Peak', 'min': 151, 'max': 220, 'minutes': 28}]",8.828235000000001,407.78252957697663,11/02/19 09:38:13,2019-11-02 08:44:54,11/02/19 08:44:54,2406000,266.09,False,False,,
26465868505,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 19, 'name': 'very'}]",102,222,,,1331000,1331000,2218.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 89, 'minutes': 6}, {'name': 'Fat Burn', 'min': 89, 'max': 124, 'minutes': 15}, {'name': 'Cardio', 'min': 124, 'max': 151, 'minutes': 1}, {'name': 'Peak', 'min': 151, 'max': 220, 'minutes': 0}]",,,11/02/19 12:24:21,2019-11-02 11:45:28,11/02/19 11:45:28,1331000,3.048,False,False,,
26476567208,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",73,145,,,973000,973000,1698.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 89, 'minutes': 14}, {'name': 'Fat Burn', 'min': 89, 'max': 124, 'minutes': 2}, {'name': 'Cardio', 'min': 124, 'max': 151, 'minutes': 0}, {'name': 'Peak', 'min': 151, 'max': 220, 'minutes': 0}]",,,11/03/19 00:09:00,2019-11-02 23:47:34,11/02/19 23:47:34,973000,20.675,False,False,,
26484875738,Walk,90013,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 10, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 5, 'name': 'very'}]",99,142,,,1024000,1024000,1095.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 89, 'minutes': 6}, {'name': 'Fat Burn', 'min': 89, 'max': 124, 'minutes': 10}, {'name': 'Cardio', 'min': 124, 'max': 151, 'minutes': 1}, {'name': 'Peak', 'min': 151, 'max': 220, 'minutes': 0}]",,,11/03/19 13:04:22,2019-11-03 12:32:25,11/03/19 12:32:25,1024000,9.144,False,False,,
26499646497,Outdoor Bike,1071,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 15, 'name': 'very'}]",110,197,,,1280000,1280000,,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 89, 'minutes': 0}, {'name': 'Fat Burn', 'min': 89, 'max': 124, 'minutes': 19}, {'name': 'Cardio', 'min': 124, 'max': 151, 'minutes': 3}, {'name': 'Peak', 'min': 151, 'max': 220, 'minutes': 0}]",,,11/04/19 06:33:36,2019-11-04 05:58:54,11/04/19 05:58:54,1280000,27.432,False,False,,
26486915516,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 40, 'name': 'very'}]",153,662,6.995796,Kilometer,2363000,2353000,6769.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150254925', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'GPS', 'VO2_MAX', 'ELEVATION', 'PACE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 89, 'minutes': 0}, {'name': 'Fat Burn', 'min': 89, 'max': 124, 'minutes': 0}, {'name': 'Cardio', 'min': 124, 'max': 151, 'minutes': 21}, {'name': 'Peak', 'min': 151, 'max': 220, 'minutes': 17}]",10.635865703357416,338.4773840143159,11/04/19 14:56:37,2019-11-04 14:15:53,11/04/19 14:15:53,2363000,91.745,True,True,https://www.fitbit.com/activities/exercise/26486915516?export=tcx,{'vo2Max': 46.851400000000005}
26514247665,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 43, 'name': 'very'}]",169,793,7.192554,Kilometer,2625000,2621000,7385.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150254925', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'GPS', 'VO2_MAX', 'ELEVATION', 'PACE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 89, 'minutes': 0}, {'name': 'Fat Burn', 'min': 89, 'max': 124, 'minutes': 3}, {'name': 'Cardio', 'min': 124, 'max': 151, 'minutes': 2}, {'name': 'Peak', 'min': 151, 'max': 220, 'minutes': 39}]",9.882679893170545,364.2736624999652,11/05/19 06:35:14,2019-11-05 05:40:58,11/05/19 05:40:58,2625000,100.279,True,True,https://www.fitbit.com/activities/exercise/26514247665?export=tcx,{'vo2Max': 43.44037}
26532535174,Outdoor Bike,1071,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 7, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 8, 'name': 'very'}]",96,127,,,1126000,1126000,,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 89, 'minutes': 5}, {'name': 'Fat Burn', 'min': 89, 'max': 124, 'minutes': 14}, {'name': 'Cardio', 'min': 124, 'max': 151, 'minutes': 0}, {'name': 'Peak', 'min': 151, 'max': 220, 'minutes': 0}]",,,11/05/19 14:41:53,2019-11-05 14:16:16,11/05/19 14:16:16,1126000,15.341,False,False,,
26546669858,Outdoor Bike,1071,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 20, 'name': 'very'}]",112,248,,,1536000,1536000,,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 89, 'minutes': 1}, {'name': 'Fat Burn', 'min': 89, 'max': 124, 'minutes': 19}, {'name': 'Cardio', 'min': 124, 'max': 151, 'minutes': 5}, {'name': 'Peak', 'min': 151, 'max': 220, 'minutes': 0}]",,,11/06/19 07:33:35,2019-11-06 06:46:22,11/06/19 06:46:22,1536000,18.288,False,False,,
26569979940,Outdoor Bike,1071,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 9, 'name': 'fairly'}, {'minutes': 8, 'name': 'very'}]",99,135,,,1127000,1127000,,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 89, 'minutes': 3}, {'name': 'Fat Burn', 'min': 89, 'max': 124, 'minutes': 16}, {'name': 'Cardio', 'min': 124, 'max': 151, 'minutes': 0}, {'name': 'Peak', 'min': 151, 'max': 220, 'minutes': 0}]",,,11/07/19 07:46:04,2019-11-06 14:15:14,11/06/19 14:15:14,1127000,9.144,False,False,,
