logId,activityName,activityTypeId,activityLevel,averageHeartRate,calories,distance,distanceUnit,duration,activeDuration,steps,source,logType,manualValuesSpecified,heartRateZones,speed,lastModified,startTime,originalStartTime,originalDuration,elevationGain,hasGps,shouldFetchDetails,tcxLink,pace,vo2Max,customHeartRateZones,swimLengths,poolLength,poolLengthUnit
26643949293,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 63, 'name': 'very'}]",138.0,774,4.935664,Kilometer,3842000,3838000,6512.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150595391', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'HEARTRATE', 'CALORIES', 'DISTANCE']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 2}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 21}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 41}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",4.591707139134966,11/11/19 15:55:59,2019-11-11 14:47:47,11/11/19 14:47:47,3842000,1.219,False,False,,,,,,,
26657422715,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 15, 'name': 'very'}]",101.0,178,,,1280000,1280000,2327.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 5}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 17}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",,11/11/19 16:41:22,2019-11-11 16:01:46,11/11/19 16:01:46,1280000,9.144,False,False,,,,,,,
26662876854,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",144.0,224,1.781578,Kilometer,913000,904000,2104.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150595391', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['GPS', 'STEPS', 'HEARTRATE', 'CALORIES', 'ELEVATION', 'DISTANCE', 'PACE', 'VO2_MAX']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 1}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 2}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 11}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 1}]",6.962774336283186,11/12/19 07:07:13,2019-11-12 06:48:01,11/12/19 06:48:01,913000,76.2,True,True,https://www.fitbit.com/activities/exercise/26662876854?export=tcx,517.0352830825369,{'vo2Max': 47.731840000000005},,,,
26668999160,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 41, 'name': 'very'}]",156.0,626,5.07846,Kilometer,2462000,2460000,5384.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150595391', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'HEARTRATE', 'CALORIES', 'DISTANCE']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 0}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 4}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 19}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 18}]",7.433107317073171,11/12/19 07:52:32,2019-11-12 07:09:01,11/12/19 07:09:01,2462000,0.305,False,False,,,,,,,
26682069506,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 18, 'name': 'very'}]",150.0,249,,,1177000,1177000,2101.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 0}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 3}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 7}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 6}]",,11/12/19 15:42:40,2019-11-12 15:11:07,11/12/19 15:11:07,1177000,5.283,False,False,,,,,,,
26662081411,Run,90009,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 48, 'name': 'very'}]",153.0,749,4.1465,Kilometer,3903000,3020000,6922.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150595391', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['GPS', 'STEPS', 'HEARTRATE', 'CALORIES', 'ELEVATION', 'DISTANCE', 'PACE', 'VO2_MAX']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 1}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 10}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 20}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 19}]",4.941905960264901,11/12/19 18:58:53,2019-11-12 17:46:42,11/12/19 17:46:42,3903000,2.743,True,True,https://www.fitbit.com/activities/exercise/26662081411?export=tcx,728.4638819406084,{'vo2Max': 46.3879},,,,
26711138497,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 25, 'name': 'very'}]",96.0,254,,,1639000,1639000,2930.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 14}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 14}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",,11/13/19 19:53:39,2019-11-13 15:11:44,11/13/19 15:11:44,1639000,57.912,False,False,,,,,,,
26722275397,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 13, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 4, 'name': 'very'}]",96.0,149,,,1228000,1228000,1317.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 11}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 10}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",,11/14/19 13:01:53,2019-11-14 12:32:48,11/14/19 12:32:48,1228000,21.336,False,False,,,,,,,
26732977177,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 63, 'name': 'very'}]",159.0,1010,6.587093,Kilometer,3800000,3798000,8798.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150595391', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'HEARTRATE', 'CALORIES', 'DISTANCE']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 2}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 5}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 24}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 33}]",6.243687203791469,11/14/19 21:27:07,2019-11-14 18:53:51,11/14/19 18:53:51,3800000,6.096,False,False,,,,,,,
26744096181,Walk,90013,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 21, 'name': 'very'}]",113.0,233,,,1383000,1383000,2295.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 2}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 21}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",,11/15/19 07:57:50,2019-11-15 07:20:10,11/15/19 07:20:10,1383000,82.296,False,False,,,,,,,
