logId,activityName,activityTypeId,activityLevel,averageHeartRate,calories,duration,activeDuration,steps,source,logType,manualValuesSpecified,heartRateZones,lastModified,startTime,originalStartTime,originalDuration,elevationGain,hasGps,shouldFetchDetails,distance,distanceUnit,speed,pace
26586466233,Workout,3000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 1, 'name': 'very'}]",108,45,1166000,480000,151.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '149163718', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['HEARTRATE', 'STEPS', 'CALORIES']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 0}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 8}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/08/19 15:00:31,2019-11-07 09:26:57,11/07/19 09:26:57,1166000,0.0,False,False,,,,
26623103640,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 25, 'name': 'very'}]",177,356,1485000,1485000,3584.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 0}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 0}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 8}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 17}]",11/09/19 20:28:56,2019-11-09 08:30:45,11/09/19 08:30:45,1485000,0.0,False,False,,,,
26789881019,Walk,90013,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 8, 'name': 'fairly'}, {'minutes': 12, 'name': 'very'}]",103,162,1484000,1484000,1854.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 4}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 21}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/17/19 20:42:33,2019-11-15 13:08:56,11/15/19 13:08:56,1484000,9.144,False,False,,,,
26789881025,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 13, 'name': 'fairly'}, {'minutes': 10, 'name': 'very'}]",101,162,1536000,1536000,1745.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 1}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 24}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/17/19 20:42:33,2019-11-16 13:10:19,11/16/19 13:10:19,1536000,9.144,False,False,,,,
26789881034,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 12, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",93,92,1024000,1024000,785.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 8}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 9}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/17/19 20:42:34,2019-11-16 15:16:37,11/16/19 15:16:37,1024000,6.096,False,False,,,,
26786739901,Workout,3000,"[{'minutes': 11, 'name': 'sedentary'}, {'minutes': 13, 'name': 'lightly'}, {'minutes': 27, 'name': 'fairly'}, {'minutes': 43, 'name': 'very'}]",113,611,6398000,5697000,1599.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '149163718', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['HEARTRATE', 'STEPS', 'CALORIES']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 15}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 74}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 6}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/17/19 20:42:31,2019-11-17 08:39:39,11/17/19 08:39:39,6398000,94.793,False,False,,,,
26786921054,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 35, 'name': 'very'}]",171,471,2087000,2085000,5254.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '149163718', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['VO2_MAX', 'HEARTRATE', 'STEPS', 'GPS', 'DISTANCE', 'CALORIES', 'ELEVATION', 'PACE']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 0}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 2}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 3}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 30}]",11/18/19 20:34:19,2019-11-18 05:11:52,11/18/19 05:11:52,2087000,0.0,False,False,6.261531,Kilometer,10.816264748201439,332.8320898024079
26987735605,Workout,3000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 17, 'name': 'very'}]",123,173,1381000,1378000,792.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '149163718', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['HEARTRATE', 'STEPS', 'CALORIES']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 0}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 21}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 2}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/26/19 05:39:57,2019-11-22 05:08:19,11/22/19 05:08:19,1381000,5.791,False,False,,,,
27000757164,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 10, 'name': 'fairly'}, {'minutes': 12, 'name': 'very'}]",99,177,1638000,1638000,1872.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 5}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 22}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/26/19 05:40:03,2019-11-22 15:43:02,11/22/19 15:43:02,1638000,36.576,False,False,,,,
27000757167,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 15, 'name': 'very'}]",92,159,1331000,1331000,2289.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 96, 'minutes': 17}, {'name': 'Fat Burn', 'min': 96, 'max': 135, 'minutes': 6}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/26/19 05:40:03,2019-11-24 19:20:53,11/24/19 19:20:53,1331000,15.24,False,False,,,,
