datetime,hour,day,month,predictions,Participant_ID
2020-04-01,0,1,4,73.0,p07
2020-04-02,0,2,4,73.0,p07
2020-04-03,0,3,4,73.0,p07
2020-04-04,0,4,4,73.0,p07
2020-04-05,0,5,4,73.0,p07
2020-04-06,0,6,4,73.0,p07
2020-04-07,0,7,4,73.0,p07
2020-04-08,0,8,4,73.0,p07
2020-04-09,0,9,4,73.0,p07
2020-04-10,0,10,4,75.0,p07
2020-04-11,0,11,4,75.0,p07
2020-04-12,0,12,4,75.0,p07
2020-04-13,0,13,4,75.0,p07
2020-04-14,0,14,4,71.0,p07
2020-04-15,0,15,4,71.0,p07
2020-04-16,0,16,4,81.0,p07
2020-04-17,0,17,4,81.0,p07
2020-04-18,0,18,4,70.0,p07
2020-04-19,0,19,4,70.0,p07
2020-04-20,0,20,4,70.0,p07
2020-04-21,0,21,4,92.0,p07
2020-04-22,0,22,4,92.0,p07
2020-04-23,0,23,4,92.0,p07
2020-04-24,0,24,4,92.0,p07
2020-04-25,0,25,4,92.0,p07
2020-04-26,0,26,4,92.0,p07
2020-04-27,0,27,4,92.0,p07
2020-04-28,0,28,4,92.0,p07
2020-04-29,0,29,4,92.0,p07
2020-04-30,0,30,4,92.0,p07
2020-05-01,0,1,5,73.0,p07
2020-05-02,0,2,5,73.0,p07
2020-05-03,0,3,5,73.0,p07
2020-05-04,0,4,5,73.0,p07
2020-05-05,0,5,5,73.0,p07
2020-05-06,0,6,5,73.0,p07
2020-05-07,0,7,5,73.0,p07
2020-05-08,0,8,5,73.0,p07
2020-05-09,0,9,5,73.0,p07
2020-05-10,0,10,5,75.0,p07
2020-05-11,0,11,5,75.0,p07
2020-05-12,0,12,5,75.0,p07
2020-05-13,0,13,5,75.0,p07
2020-05-14,0,14,5,71.0,p07
2020-05-15,0,15,5,71.0,p07
2020-05-16,0,16,5,81.0,p07
2020-05-17,0,17,5,81.0,p07
2020-05-18,0,18,5,70.0,p07
2020-05-19,0,19,5,70.0,p07
2020-05-20,0,20,5,70.0,p07
2020-05-21,0,21,5,92.0,p07
2020-05-22,0,22,5,92.0,p07
2020-05-23,0,23,5,92.0,p07
2020-05-24,0,24,5,92.0,p07
2020-05-25,0,25,5,92.0,p07
2020-05-26,0,26,5,92.0,p07
2020-05-27,0,27,5,92.0,p07
2020-05-28,0,28,5,92.0,p07
2020-05-29,0,29,5,92.0,p07
2020-05-30,0,30,5,92.0,p07
2020-05-31,0,31,5,92.0,p07
2020-06-01,0,1,6,73.0,p07
2020-06-02,0,2,6,73.0,p07
2020-06-03,0,3,6,73.0,p07
2020-06-04,0,4,6,73.0,p07
2020-06-05,0,5,6,73.0,p07
2020-06-06,0,6,6,73.0,p07
2020-06-07,0,7,6,73.0,p07
2020-06-08,0,8,6,73.0,p07
2020-06-09,0,9,6,73.0,p07
2020-06-10,0,10,6,75.0,p07
2020-06-11,0,11,6,75.0,p07
2020-06-12,0,12,6,75.0,p07
2020-06-13,0,13,6,75.0,p07
2020-06-14,0,14,6,71.0,p07
2020-06-15,0,15,6,71.0,p07
2020-06-16,0,16,6,81.0,p07
2020-06-17,0,17,6,81.0,p07
2020-06-18,0,18,6,70.0,p07
2020-06-19,0,19,6,70.0,p07
2020-06-20,0,20,6,70.0,p07
2020-06-21,0,21,6,92.0,p07
2020-06-22,0,22,6,92.0,p07
2020-06-23,0,23,6,92.0,p07
2020-06-24,0,24,6,92.0,p07
2020-06-25,0,25,6,92.0,p07
2020-06-26,0,26,6,92.0,p07
2020-06-27,0,27,6,92.0,p07
2020-06-28,0,28,6,92.0,p07
2020-06-29,0,29,6,92.0,p07
2020-06-30,0,30,6,92.0,p07
2020-07-01,0,1,7,73.0,p07
2020-07-02,0,2,7,73.0,p07
2020-07-03,0,3,7,73.0,p07
2020-07-04,0,4,7,73.0,p07
2020-07-05,0,5,7,73.0,p07
2020-07-06,0,6,7,73.0,p07
2020-07-07,0,7,7,73.0,p07
2020-07-08,0,8,7,73.0,p07
2020-07-09,0,9,7,73.0,p07
2020-07-10,0,10,7,75.0,p07
2020-07-11,0,11,7,75.0,p07
2020-07-12,0,12,7,75.0,p07
2020-07-13,0,13,7,75.0,p07
2020-07-14,0,14,7,71.0,p07
2020-07-15,0,15,7,71.0,p07
2020-07-16,0,16,7,81.0,p07
2020-07-17,0,17,7,81.0,p07
2020-07-18,0,18,7,70.0,p07
2020-07-19,0,19,7,70.0,p07
2020-07-20,0,20,7,70.0,p07
2020-07-21,0,21,7,92.0,p07
2020-07-22,0,22,7,92.0,p07
2020-07-23,0,23,7,92.0,p07
2020-07-24,0,24,7,92.0,p07
2020-07-25,0,25,7,92.0,p07
2020-07-26,0,26,7,92.0,p07
2020-07-27,0,27,7,92.0,p07
2020-07-28,0,28,7,92.0,p07
2020-07-29,0,29,7,92.0,p07
2020-07-30,0,30,7,92.0,p07
2020-07-31,0,31,7,92.0,p07
2020-08-01,0,1,8,73.0,p07
2020-08-02,0,2,8,73.0,p07
2020-08-03,0,3,8,73.0,p07
2020-08-04,0,4,8,73.0,p07
2020-08-05,0,5,8,73.0,p07
2020-08-06,0,6,8,73.0,p07
2020-08-07,0,7,8,73.0,p07
2020-08-08,0,8,8,73.0,p07
2020-08-09,0,9,8,73.0,p07
2020-08-10,0,10,8,75.0,p07
2020-08-11,0,11,8,75.0,p07
2020-08-12,0,12,8,75.0,p07
2020-08-13,0,13,8,75.0,p07
2020-08-14,0,14,8,71.0,p07
2020-08-15,0,15,8,71.0,p07
2020-08-16,0,16,8,81.0,p07
2020-08-17,0,17,8,81.0,p07
2020-08-18,0,18,8,70.0,p07
2020-08-19,0,19,8,70.0,p07
2020-08-20,0,20,8,70.0,p07
2020-08-21,0,21,8,92.0,p07
2020-08-22,0,22,8,92.0,p07
2020-08-23,0,23,8,92.0,p07
2020-08-24,0,24,8,92.0,p07
2020-08-25,0,25,8,92.0,p07
2020-08-26,0,26,8,92.0,p07
2020-08-27,0,27,8,92.0,p07
2020-08-28,0,28,8,92.0,p07
2020-08-29,0,29,8,92.0,p07
2020-08-30,0,30,8,92.0,p07
2020-08-31,0,31,8,92.0,p07
2020-09-01,0,1,9,73.0,p07
2020-09-02,0,2,9,73.0,p07
2020-09-03,0,3,9,73.0,p07
2020-09-04,0,4,9,73.0,p07
2020-09-05,0,5,9,73.0,p07
2020-09-06,0,6,9,73.0,p07
2020-09-07,0,7,9,73.0,p07
2020-09-08,0,8,9,73.0,p07
2020-09-09,0,9,9,73.0,p07
2020-09-10,0,10,9,75.0,p07
2020-09-11,0,11,9,75.0,p07
2020-09-12,0,12,9,75.0,p07
2020-09-13,0,13,9,75.0,p07
2020-09-14,0,14,9,71.0,p07
2020-09-15,0,15,9,71.0,p07
2020-09-16,0,16,9,81.0,p07
2020-09-17,0,17,9,81.0,p07
2020-09-18,0,18,9,70.0,p07
2020-09-19,0,19,9,70.0,p07
2020-09-20,0,20,9,70.0,p07
2020-09-21,0,21,9,92.0,p07
2020-09-22,0,22,9,92.0,p07
2020-09-23,0,23,9,92.0,p07
2020-09-24,0,24,9,92.0,p07
2020-09-25,0,25,9,92.0,p07
2020-09-26,0,26,9,92.0,p07
2020-09-27,0,27,9,92.0,p07
2020-09-28,0,28,9,92.0,p07
2020-09-29,0,29,9,92.0,p07
2020-09-30,0,30,9,92.0,p07
2020-10-01,0,1,10,73.0,p07
2020-10-02,0,2,10,73.0,p07
2020-10-03,0,3,10,73.0,p07
2020-10-04,0,4,10,73.0,p07
2020-10-05,0,5,10,73.0,p07
2020-10-06,0,6,10,73.0,p07
2020-10-07,0,7,10,73.0,p07
2020-10-08,0,8,10,73.0,p07
2020-10-09,0,9,10,73.0,p07
2020-10-10,0,10,10,75.0,p07
2020-10-11,0,11,10,75.0,p07
2020-10-12,0,12,10,75.0,p07
2020-10-13,0,13,10,75.0,p07
2020-10-14,0,14,10,71.0,p07
2020-10-15,0,15,10,71.0,p07
2020-10-16,0,16,10,81.0,p07
2020-10-17,0,17,10,81.0,p07
2020-10-18,0,18,10,70.0,p07
2020-10-19,0,19,10,70.0,p07
2020-10-20,0,20,10,70.0,p07
2020-10-21,0,21,10,92.0,p07
2020-10-22,0,22,10,92.0,p07
2020-10-23,0,23,10,92.0,p07
2020-10-24,0,24,10,92.0,p07
2020-10-25,0,25,10,92.0,p07
2020-10-26,0,26,10,92.0,p07
2020-10-27,0,27,10,92.0,p07
2020-10-28,0,28,10,92.0,p07
2020-10-29,0,29,10,92.0,p07
2020-10-30,0,30,10,92.0,p07
2020-10-31,0,31,10,92.0,p07
2020-11-01,0,1,11,73.0,p07
2020-11-02,0,2,11,73.0,p07
2020-11-03,0,3,11,73.0,p07
2020-11-04,0,4,11,73.0,p07
2020-11-05,0,5,11,73.0,p07
2020-11-06,0,6,11,73.0,p07
2020-11-07,0,7,11,73.0,p07
2020-11-08,0,8,11,73.0,p07
2020-11-09,0,9,11,73.0,p07
2020-11-10,0,10,11,75.0,p07
2020-11-11,0,11,11,75.0,p07
2020-11-12,0,12,11,75.0,p07
2020-11-13,0,13,11,75.0,p07
2020-11-14,0,14,11,71.0,p07
2020-11-15,0,15,11,71.0,p07
2020-11-16,0,16,11,81.0,p07
2020-11-17,0,17,11,81.0,p07
2020-11-18,0,18,11,70.0,p07
2020-11-19,0,19,11,70.0,p07
2020-11-20,0,20,11,70.0,p07
2020-11-21,0,21,11,92.0,p07
2020-11-22,0,22,11,92.0,p07
2020-11-23,0,23,11,92.0,p07
2020-11-24,0,24,11,92.0,p07
2020-11-25,0,25,11,92.0,p07
2020-11-26,0,26,11,92.0,p07
2020-11-27,0,27,11,92.0,p07
2020-11-28,0,28,11,92.0,p07
2020-11-29,0,29,11,92.0,p07
2020-11-30,0,30,11,92.0,p07
