datetime,hour,day,month,predictions,Participant_ID
2020-04-01,0,0,0,0.0,p12
2020-04-02,0,2,4,52.0,p12
2020-04-03,0,0,0,0.0,p12
2020-04-04,0,4,4,78.0,p12
2020-04-05,0,5,4,66.0,p12
2020-04-06,0,6,4,44.0,p12
2020-04-07,0,7,4,44.0,p12
2020-04-08,0,8,4,44.0,p12
2020-04-09,0,9,4,26.0,p12
2020-04-10,0,10,4,475.0,p12
2020-04-11,0,11,4,426.0,p12
2020-04-12,0,12,4,426.0,p12
2020-04-13,0,13,4,460.0,p12
2020-04-14,0,0,0,0.0,p12
2020-04-15,0,0,0,0.0,p12
2020-04-16,0,0,0,0.0,p12
2020-04-17,0,17,4,51.0,p12
2020-04-18,0,0,0,0.0,p12
2020-04-19,0,0,0,0.0,p12
2020-04-20,0,0,0,0.0,p12
2020-04-21,0,0,0,0.0,p12
2020-04-22,0,0,0,0.0,p12
2020-04-23,0,0,0,0.0,p12
2020-04-24,0,0,0,0.0,p12
2020-04-25,0,25,4,531.0,p12
2020-04-26,0,0,0,0.0,p12
2020-04-27,0,27,4,161.0,p12
2020-04-28,0,28,4,226.0,p12
2020-04-29,0,29,4,599.0,p12
2020-04-30,0,30,4,592.0,p12
2020-05-01,0,0,0,0.0,p12
2020-05-02,0,2,5,52.0,p12
2020-05-03,0,0,0,0.0,p12
2020-05-04,0,4,5,78.0,p12
2020-05-05,0,5,5,66.0,p12
2020-05-06,0,6,5,44.0,p12
2020-05-07,0,7,5,44.0,p12
2020-05-08,0,8,5,44.0,p12
2020-05-09,0,9,5,26.0,p12
2020-05-10,0,10,5,475.0,p12
2020-05-11,0,11,5,426.0,p12
2020-05-12,0,12,5,426.0,p12
2020-05-13,0,13,5,460.0,p12
2020-05-14,0,0,0,0.0,p12
2020-05-15,0,0,0,0.0,p12
2020-05-16,0,0,0,0.0,p12
2020-05-17,0,17,5,51.0,p12
2020-05-18,0,0,0,0.0,p12
2020-05-19,0,0,0,0.0,p12
2020-05-20,0,0,0,0.0,p12
2020-05-21,0,0,0,0.0,p12
2020-05-22,0,0,0,0.0,p12
2020-05-23,0,0,0,0.0,p12
2020-05-24,0,0,0,0.0,p12
2020-05-25,0,25,5,531.0,p12
2020-05-26,0,0,0,0.0,p12
2020-05-27,0,27,5,161.0,p12
2020-05-28,0,28,5,226.0,p12
2020-05-29,0,29,5,599.0,p12
2020-05-30,0,30,5,592.0,p12
2020-05-31,0,31,5,592.0,p12
2020-06-01,0,0,0,0.0,p12
2020-06-02,0,2,6,52.0,p12
2020-06-03,0,0,0,0.0,p12
2020-06-04,0,4,6,78.0,p12
2020-06-05,0,5,6,66.0,p12
2020-06-06,0,6,6,44.0,p12
2020-06-07,0,7,6,44.0,p12
2020-06-08,0,8,6,44.0,p12
2020-06-09,0,9,6,26.0,p12
