logId,activityName,activityTypeId,activityLevel,averageHeartRate,calories,duration,activeDuration,steps,logType,manualValuesSpecified,heartRateZones,lastModified,startTime,originalStartTime,originalDuration,elevationGain,hasGps,shouldFetchDetails,distance,distanceUnit,source,speed
26446767579,Walk,90013,"[{'minutes': 3, 'name': 'sedentary'}, {'minutes': 4, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 29, 'name': 'very'}]",107,311,2355000,2355000,3171,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 5}, {'name': 'Fat Burn', 'min': 97, 'max': 136, 'minutes': 34}, {'name': 'Cardio', 'min': 136, 'max': 165, 'minutes': 0}, {'name': 'Peak', 'min': 165, 'max': 220, 'minutes': 0}]",11/01/19 12:35:06,2019-11-01 11:45:06,11/01/19 11:45:06,2355000,30.48,False,False,,,,
26533264129,Walk,90013,"[{'minutes': 4, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 19, 'name': 'very'}]",103,235,1946000,1946000,2535,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 7}, {'name': 'Fat Burn', 'min': 97, 'max': 136, 'minutes': 25}, {'name': 'Cardio', 'min': 136, 'max': 165, 'minutes': 0}, {'name': 'Peak', 'min': 165, 'max': 220, 'minutes': 0}]",11/05/19 15:26:24,2019-11-05 14:36:06,11/05/19 14:36:06,1946000,27.432,False,False,,,,
26549706578,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 14, 'name': 'very'}]",118,144,922000,922000,1429,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 0}, {'name': 'Fat Burn', 'min': 97, 'max': 136, 'minutes': 15}, {'name': 'Cardio', 'min': 136, 'max': 165, 'minutes': 0}, {'name': 'Peak', 'min': 165, 'max': 220, 'minutes': 0}]",11/06/19 12:22:48,2019-11-06 11:51:04,11/06/19 11:51:04,922000,0.0,False,False,,,,
26655580888,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 6, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 26, 'name': 'very'}]",106,306,2202000,2202000,3283,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 7}, {'name': 'Fat Burn', 'min': 97, 'max': 136, 'minutes': 30}, {'name': 'Cardio', 'min': 136, 'max': 165, 'minutes': 0}, {'name': 'Peak', 'min': 165, 'max': 220, 'minutes': 0}]",11/11/19 15:09:02,2019-11-11 14:22:34,11/11/19 14:22:34,2202000,27.432,False,False,,,,
26726335047,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 4, 'name': 'lightly'}, {'minutes': 9, 'name': 'fairly'}, {'minutes': 20, 'name': 'very'}]",99,264,1997000,1997000,3105,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 10}, {'name': 'Fat Burn', 'min': 97, 'max': 136, 'minutes': 24}, {'name': 'Cardio', 'min': 136, 'max': 165, 'minutes': 0}, {'name': 'Peak', 'min': 165, 'max': 220, 'minutes': 0}]",11/14/19 17:04:05,2019-11-14 16:16:52,11/14/19 16:16:52,1997000,6.096,False,False,,,,
27614863099,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 17, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",91,111,1075000,1075000,1009,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 16}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 2}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",12/26/19 06:57:13,2019-12-21 10:41:57,12/21/19 10:41:57,1075000,0.0,False,False,,,,
27614863100,Walk,90013,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 17, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 9, 'name': 'very'}]",102,219,1843000,1843000,1732,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 14}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 17}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",12/26/19 06:57:13,2019-12-23 11:28:21,12/23/19 11:28:21,1843000,9.144,False,False,,,,
27591890847,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 11, 'name': 'very'}]",126,164,975000,906000,1468,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 0}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 9}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 6}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",12/26/19 07:05:01,2019-12-24 10:57:25,12/24/19 10:57:25,975000,2.438,False,False,1.5542340000000001,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '149564781', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'STEPS', 'HEARTRATE', 'CALORIES']}",6.175748344370861
27645961015,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 33, 'name': 'very'}]",167,524,1949000,1946000,4024,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 0}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 0}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 14}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 19}]",12/30/19 14:09:18,2019-12-30 13:29:48,12/30/19 13:29:48,1949000,36.271,False,False,4.018585,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '149564781', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'STEPS', 'HEARTRATE', 'CALORIES']}",7.434184994861253
27860379558,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",102,192,1434000,1434000,1862,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 4}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 20}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",01/07/20 11:07:25,2020-01-04 12:46:27,01/04/20 12:46:27,1434000,3.048,False,False,,,,
