logId,activityName,activityTypeId,activityLevel,averageHeartRate,calories,duration,activeDuration,steps,logType,manualValuesSpecified,heartRateZones,lastModified,startTime,originalStartTime,originalDuration,elevationGain,hasGps,shouldFetchDetails,distance,distanceUnit,source,speed,pace
26746043476,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 14, 'name': 'very'}]",113,142,1332000,1332000,2109,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 105, 'minutes': 3}, {'name': 'Fat Burn', 'min': 105, 'max': 147, 'minutes': 19}, {'name': 'Cardio', 'min': 147, 'max': 178, 'minutes': 0}, {'name': 'Peak', 'min': 178, 'max': 220, 'minutes': 0}]",11/15/19 11:20:30,2019-11-15 10:55:24,11/15/19 10:55:24,1332000,12.192,False,False,,,,,
26752934740,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 7, 'name': 'very'}]",111,76,717000,717000,1128,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 105, 'minutes': 3}, {'name': 'Fat Burn', 'min': 105, 'max': 147, 'minutes': 9}, {'name': 'Cardio', 'min': 147, 'max': 178, 'minutes': 0}, {'name': 'Peak', 'min': 178, 'max': 220, 'minutes': 0}]",11/15/19 19:05:51,2019-11-15 13:39:16,11/15/19 13:39:16,717000,6.096,False,False,,,,,
26778568808,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 2, 'name': 'very'}]",111,65,717000,717000,923,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 105, 'minutes': 1}, {'name': 'Fat Burn', 'min': 105, 'max': 147, 'minutes': 11}, {'name': 'Cardio', 'min': 147, 'max': 178, 'minutes': 0}, {'name': 'Peak', 'min': 178, 'max': 220, 'minutes': 0}]",11/17/19 09:50:27,2019-11-16 22:11:54,11/16/19 22:11:54,717000,3.048,False,False,,,,,
26778568809,Dancing,3031,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 9, 'name': 'fairly'}, {'minutes': 15, 'name': 'very'}]",123,164,1485000,1485000,1798,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 102, 'minutes': 0}, {'name': 'Fat Burn', 'min': 102, 'max': 143, 'minutes': 22}, {'name': 'Cardio', 'min': 143, 'max': 174, 'minutes': 2}, {'name': 'Peak', 'min': 174, 'max': 220, 'minutes': 0}]",11/17/19 14:33:57,2019-11-16 23:15:03,11/16/19 23:15:03,1485000,,False,False,,,,,
26784597230,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 43, 'name': 'very'}]",154,442,2638000,2635000,5219,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 102, 'minutes': 1}, {'name': 'Fat Burn', 'min': 102, 'max': 143, 'minutes': 13}, {'name': 'Cardio', 'min': 143, 'max': 174, 'minutes': 14}, {'name': 'Peak', 'min': 174, 'max': 220, 'minutes': 16}]",11/18/19 16:25:47,2019-11-18 15:26:15,11/18/19 15:26:15,2638000,5.182,False,False,4.168117,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150602119', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['HEARTRATE', 'DISTANCE', 'STEPS', 'CALORIES']}",5.696238330170779,
26824695603,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 11, 'name': 'very'}]",116,105,1024000,1024000,1600,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 102, 'minutes': 1}, {'name': 'Fat Burn', 'min': 102, 'max': 143, 'minutes': 16}, {'name': 'Cardio', 'min': 143, 'max': 174, 'minutes': 0}, {'name': 'Peak', 'min': 174, 'max': 220, 'minutes': 0}]",11/19/19 11:52:17,2019-11-19 08:14:18,11/19/19 08:14:18,1024000,6.096,False,False,,,,,
26808810092,Workout,3000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 12, 'name': 'lightly'}, {'minutes': 19, 'name': 'fairly'}, {'minutes': 19, 'name': 'very'}]",128,338,3064000,3061000,459,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 102, 'minutes': 1}, {'name': 'Fat Burn', 'min': 102, 'max': 143, 'minutes': 43}, {'name': 'Cardio', 'min': 143, 'max': 174, 'minutes': 7}, {'name': 'Peak', 'min': 174, 'max': 220, 'minutes': 0}]",11/19/19 11:52:16,2019-11-19 08:55:25,11/19/19 08:55:25,3064000,21.336,False,False,,,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150602119', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['HEARTRATE', 'STEPS', 'CALORIES']}",,
26824695614,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",117,151,1382000,1382000,2005,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 102, 'minutes': 1}, {'name': 'Fat Burn', 'min': 102, 'max': 143, 'minutes': 22}, {'name': 'Cardio', 'min': 143, 'max': 174, 'minutes': 0}, {'name': 'Peak', 'min': 174, 'max': 220, 'minutes': 0}]",11/19/19 11:52:17,2019-11-19 09:59:16,11/19/19 09:59:16,1382000,39.624,False,False,,,,,
26840561342,Aerobic Workout,3001,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 90, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",119,377,5400000,5400000,2891,manual,"{'calories': False, 'distance': True, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 102, 'minutes': 2}, {'name': 'Fat Burn', 'min': 102, 'max': 143, 'minutes': 81}, {'name': 'Cardio', 'min': 143, 'max': 174, 'minutes': 7}, {'name': 'Peak', 'min': 174, 'max': 220, 'minutes': 0}]",11/20/19 11:54:00,2019-11-20 08:30:00,11/20/19 08:30:00,5400000,,False,False,,,"{'type': 'app', 'name': 'Fitbit for iPhone', 'id': '228TSL', 'url': 'https://www.fitbit.com/iphone'}",,
26925625681,Walk,90013,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 14, 'name': 'lightly'}, {'minutes': 10, 'name': 'fairly'}, {'minutes': 3, 'name': 'very'}]",99,140,1690000,1690000,2305,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 102, 'minutes': 15}, {'name': 'Fat Burn', 'min': 102, 'max': 143, 'minutes': 13}, {'name': 'Cardio', 'min': 143, 'max': 174, 'minutes': 0}, {'name': 'Peak', 'min': 174, 'max': 220, 'minutes': 0}]",11/22/19 12:23:56,2019-11-22 11:51:14,11/22/19 11:51:14,1690000,18.288,False,False,,,,,
