logId,activityName,activityTypeId,activityLevel,averageHeartRate,calories,duration,activeDuration,steps,logType,manualValuesSpecified,heartRateZones,lastModified,startTime,originalStartTime,originalDuration,elevationGain,hasGps,shouldFetchDetails
26841255647,Walk,90013,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 14, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",106,82,922000,922000,942.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 98, 'minutes': 3}, {'name': 'Fat Burn', 'min': 98, 'max': 137, 'minutes': 12}, {'name': 'Cardio', 'min': 137, 'max': 167, 'minutes': 0}, {'name': 'Peak', 'min': 167, 'max': 220, 'minutes': 0}]",11/19/19 21:35:49,2019-11-19 21:05:35,11/19/19 21:05:35,922000,15.24,False,False
27111188955,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 15, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",102,82,922000,922000,858.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 98, 'minutes': 4}, {'name': 'Fat Burn', 'min': 98, 'max': 137, 'minutes': 12}, {'name': 'Cardio', 'min': 137, 'max': 167, 'minutes': 0}, {'name': 'Peak', 'min': 167, 'max': 220, 'minutes': 0}]",12/02/19 16:28:52,2019-12-02 15:58:42,12/02/19 15:58:42,922000,15.24,False,False
27221284627,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 10, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 3, 'name': 'very'}]",112,94,973000,973000,841.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 98, 'minutes': 1}, {'name': 'Fat Burn', 'min': 98, 'max': 137, 'minutes': 15}, {'name': 'Cardio', 'min': 137, 'max': 167, 'minutes': 0}, {'name': 'Peak', 'min': 167, 'max': 220, 'minutes': 0}]",12/06/19 15:28:09,2019-12-06 14:58:01,12/06/19 14:58:01,973000,15.24,False,False
27384796360,Walk,90013,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 16, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",104,91,1126000,1126000,905.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 98, 'minutes': 6}, {'name': 'Fat Burn', 'min': 98, 'max': 137, 'minutes': 11}, {'name': 'Cardio', 'min': 137, 'max': 167, 'minutes': 1}, {'name': 'Peak', 'min': 167, 'max': 220, 'minutes': 0}]",12/14/19 17:35:53,2019-12-14 17:04:08,12/14/19 17:04:08,1126000,15.24,False,False
27475858034,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 14, 'name': 'lightly'}, {'minutes': 27, 'name': 'fairly'}, {'minutes': 6, 'name': 'very'}]",104,264,2816000,2816000,2910.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 98, 'minutes': 9}, {'name': 'Fat Burn', 'min': 98, 'max': 137, 'minutes': 38}, {'name': 'Cardio', 'min': 137, 'max': 167, 'minutes': 0}, {'name': 'Peak', 'min': 167, 'max': 220, 'minutes': 0}]",12/18/19 15:38:02,2019-12-18 14:46:55,12/18/19 14:46:55,2816000,9.144,False,False
27589215416,Aerobic Workout,3001,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 26, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",101,169,1740000,1740000,2223.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 98, 'minutes': 12}, {'name': 'Fat Burn', 'min': 98, 'max': 137, 'minutes': 17}, {'name': 'Cardio', 'min': 137, 'max': 167, 'minutes': 0}, {'name': 'Peak', 'min': 167, 'max': 220, 'minutes': 0}]",12/24/19 13:50:57,2019-12-24 13:09:41,12/24/19 13:09:41,1740000,,False,False
27627375722,Aerobic Workout,3001,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 19, 'name': 'fairly'}, {'minutes': 5, 'name': 'very'}]",102,164,1638000,1638000,2160.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 98, 'minutes': 3}, {'name': 'Fat Burn', 'min': 98, 'max': 137, 'minutes': 16}, {'name': 'Cardio', 'min': 137, 'max': 167, 'minutes': 0}, {'name': 'Peak', 'min': 167, 'max': 220, 'minutes': 0}]",12/27/19 02:19:24,2019-12-27 01:35:38,12/27/19 01:35:38,1638000,,False,False
27653284186,Walk,90013,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 14, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",106,84,973000,973000,892.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 98, 'minutes': 1}, {'name': 'Fat Burn', 'min': 98, 'max': 137, 'minutes': 15}, {'name': 'Cardio', 'min': 137, 'max': 167, 'minutes': 0}, {'name': 'Peak', 'min': 167, 'max': 220, 'minutes': 0}]",12/28/19 13:46:08,2019-12-28 13:17:31,12/28/19 13:17:31,973000,15.24,False,False
27685535111,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 16, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 4, 'name': 'very'}]",108,147,1485000,1485000,1858.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 98, 'minutes': 1}, {'name': 'Fat Burn', 'min': 98, 'max': 137, 'minutes': 24}, {'name': 'Cardio', 'min': 137, 'max': 167, 'minutes': 0}, {'name': 'Peak', 'min': 167, 'max': 220, 'minutes': 0}]",12/30/19 14:20:44,2019-12-30 13:47:25,12/30/19 13:47:25,1485000,39.624,False,False
27988655745,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 5, 'name': 'very'}]",110,94,922000,922000,991.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 98, 'minutes': 0}, {'name': 'Fat Burn', 'min': 98, 'max': 137, 'minutes': 16}, {'name': 'Cardio', 'min': 137, 'max': 167, 'minutes': 0}, {'name': 'Peak', 'min': 167, 'max': 220, 'minutes': 0}]",01/10/20 17:57:32,2020-01-10 17:24:45,01/10/20 17:24:45,922000,15.24,False,False
