Participant_ID,Dates,Steps
p06,2019-11-02,10126.0
p06,2019-11-03,1095.0
p06,2019-11-04,6769.0
p06,2019-11-05,7385.0
p06,2019-11-06,0.0
p06,2019-11-07,0.0
p06,2019-11-08,0.0
p06,2019-11-11,5013.0
p06,2019-11-12,5417.0
p06,2019-11-13,5467.0
p06,2019-11-14,8042.0
p06,2019-11-16,7465.0
p06,2019-11-17,5442.0
p06,2019-11-18,8318.0
p06,2019-11-20,6626.0
p06,2019-11-24,10877.0
p06,2019-11-25,0.0
p06,2019-11-28,0.0
p06,2019-11-30,2291.0
p06,2019-12-01,4078.0
p06,2019-12-04,4955.0
p06,2019-12-09,6495.0
p06,2019-12-14,1460.0
p06,2019-12-17,1476.0
p06,2019-12-22,6641.0
p06,2019-12-23,1682.0
p06,2019-12-24,5786.0
p06,2019-12-29,4568.0
p06,2019-12-30,0.0
p06,2020-01-02,3605.0
p06,2020-01-03,6315.0
p06,2020-01-05,4812.0
p06,2020-01-06,6449.0
p06,2020-01-07,5856.0
p06,2020-01-08,0.0
p06,2020-01-09,0.0
p06,2020-01-10,0.0
p06,2020-01-13,0.0
p06,2020-01-14,5354.0
p06,2020-01-15,3594.0
p06,2020-01-16,0.0
p06,2020-01-17,0.0
p06,2020-01-18,1864.0
p06,2020-01-19,6247.0
p06,2020-01-20,0.0
p06,2020-01-21,5416.0
p06,2020-01-22,0.0
p06,2020-01-23,0.0
p06,2020-01-25,5540.0
p06,2020-01-26,2996.0
p06,2020-01-27,3237.0
p06,2020-01-28,322.0
p06,2020-01-29,0.0
p06,2020-01-30,4291.0
p06,2020-01-31,4274.0
p06,2020-02-02,4765.0
p06,2020-02-03,795.0
p06,2020-02-04,0.0
p06,2020-02-05,1182.0
p06,2020-02-06,4103.0
p06,2020-02-07,0.0
p06,2020-02-09,4527.0
p06,2020-02-10,0.0
p06,2020-02-11,6057.0
p06,2020-02-13,1640.0
p06,2020-02-17,6821.0
p06,2020-02-18,0.0
p06,2020-02-19,0.0
p06,2020-02-20,1641.0
p06,2020-02-21,4543.0
p06,2020-02-22,1169.0
p06,2020-02-23,1783.0
p06,2020-02-24,4921.0
p06,2020-02-25,0.0
p06,2020-02-26,6040.0
p06,2020-02-27,6480.0
p06,2020-02-29,3833.0
p06,2020-03-02,0.0
p06,2020-03-03,0.0
p06,2020-03-04,5003.0
p06,2020-03-09,7760.0
p06,2020-03-11,4880.0
p06,2020-03-13,1379.0
p06,2020-03-14,572.0
p06,2020-03-18,4539.0
p06,2020-03-21,6139.0
p06,2020-03-26,4770.0
p06,2020-03-28,1848.0
p06,2020-03-30,4582.0
