Participant_ID,Dates,Distance
p13,2019-11-11,4.160421
p13,2019-11-12,0.0
p13,2019-11-13,0.0
p13,2019-11-15,0.0
p13,2019-11-16,0.0
p13,2019-11-17,0.0
p13,2019-11-18,0.0
p13,2019-11-19,0.0
p13,2019-11-21,0.0
p13,2019-11-24,0.0
p13,2019-11-25,0.0
p13,2019-11-26,0.0
p13,2019-11-28,0.0
p13,2019-11-30,0.0
p13,2019-12-13,0.0
p13,2019-12-14,0.0
p13,2019-12-15,0.0
p13,2019-12-19,0.0
p13,2019-12-20,0.0
p13,2019-12-21,0.0
p13,2019-12-22,0.0
p13,2019-12-23,0.0
p13,2020-01-02,3.404093
p13,2020-01-06,0.0
p13,2020-01-07,4.564914
p13,2020-01-25,0.0
p13,2020-01-26,0.0
p13,2020-02-18,6.202859
p13,2020-03-20,0.0
